order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1719,459,4,390.8,1563.2
2,466,377,2,423.74,847.48
3,2112,353,2,303.02,606.04
4,495,144,3,248.01,744.03
5,2356,396,3,195.06,585.18
6,2239,259,2,147.03,294.06
7,2415,439,5,692.76,3463.8
8,501,158,2,33.54,67.08
9,539,470,5,503.4,2517.0
10,2474,216,2,291.11,582.22
11,1820,386,4,612.84,2451.36
12,1833,392,5,132.06,660.3
13,1254,344,4,142.16,568.64
14,1688,144,3,248.01,744.03
15,2325,513,1,154.01,154.01
16,2434,600,3,149.99,449.97
17,1808,308,1,141.07,141.07
18,1869,300,1,620.55,620.55
19,1108,34,2,304.09,608.18
20,746,307,1,706.75,706.75
21,1707,470,5,503.4,2517.0
22,656,208,5,421.48,2107.4
23,2256,501,3,573.48,1720.44
24,1299,337,3,374.54,1123.62
25,347,57,2,430.82,861.64
26,1234,597,3,210.87,632.61
27,1033,41,5,93.83,469.15
28,1120,306,2,188.57,377.14
29,149,446,2,795.58,1591.16
30,998,426,3,600.86,1802.58
31,276,292,2,487.76,975.52
32,1988,248,2,56.79,113.58
33,776,507,4,248.1,992.4
34,773,579,1,165.43,165.43
35,1110,136,3,632.05,1896.15
36,1708,391,5,152.29,761.45
37,1136,505,2,602.18,1204.36
38,1884,506,2,245.5,491.0
39,1154,319,1,632.34,632.34
40,1882,301,3,10.14,30.42
41,1537,273,4,549.11,2196.44
42,1103,441,3,621.79,1865.37
43,587,191,3,69.8,209.4
44,2423,290,1,162.83,162.83
45,378,420,1,348.54,348.54
46,2483,369,5,575.2,2876.0
47,1792,186,4,528.49,2113.96
48,2132,140,3,298.93,896.79
49,1627,53,1,696.41,696.41
50,1111,304,3,407.38,1222.14
51,2275,452,5,730.78,3653.9
52,2321,99,1,150.17,150.17
53,816,191,2,69.8,139.6
54,2474,393,4,724.42,2897.68
55,1132,195,1,723.37,723.37
56,521,363,2,741.22,1482.44
57,983,380,1,81.17,81.17
58,1273,523,3,99.5,298.5
59,1642,474,2,636.0,1272.0
60,1658,101,1,692.48,692.48
61,558,526,2,664.34,1328.68
62,556,435,2,59.27,118.54
63,973,257,3,592.01,1776.03
64,458,398,2,72.32,144.64
65,1523,220,2,569.42,1138.84
66,822,179,3,341.91,1025.73
67,550,211,4,213.42,853.68
68,907,19,4,738.54,2954.16
69,1873,219,4,743.84,2975.36
70,1179,314,2,687.6,1375.2
71,505,272,5,317.71,1588.55
72,110,7,5,219.72,1098.6
73,1129,376,3,743.8,2231.4
74,1382,599,3,794.13,2382.39
75,1697,416,2,133.11,266.22
76,1197,110,5,584.53,2922.65
77,1960,47,4,327.04,1308.16
78,1864,491,5,258.16,1290.8
79,1312,545,5,74.11,370.55
80,2210,514,3,80.0,240.0
81,120,470,4,503.4,2013.6
82,1419,398,1,72.32,72.32
83,9,250,3,18.35,55.05
84,1243,513,3,154.01,462.03
85,2247,574,1,149.77,149.77
86,684,137,2,630.03,1260.06
87,562,331,4,697.27,2789.08
88,1393,122,4,566.95,2267.8
89,854,543,3,637.9,1913.7
90,394,142,2,558.05,1116.1
91,1149,230,1,597.88,597.88
92,2120,38,4,664.31,2657.24
93,1875,395,5,17.26,86.3
94,946,124,1,342.09,342.09
95,568,215,5,15.98,79.9
96,1807,441,4,621.79,2487.16
97,2120,118,2,402.44,804.88
98,237,170,5,614.58,3072.9
99,780,36,5,346.81,1734.05
100,763,36,4,346.81,1387.24
101,1624,176,3,338.38,1015.14
102,1230,491,1,258.16,258.16
103,2423,41,4,93.83,375.32
104,318,476,2,615.62,1231.24
105,1490,83,1,488.4,488.4
106,176,396,4,195.06,780.24
107,1588,234,5,216.26,1081.3
108,340,271,1,263.1,263.1
109,1177,335,2,154.45,308.9
110,1647,445,2,71.32,142.64
111,2107,160,3,26.4,79.2
112,1628,139,5,507.57,2537.85
113,1925,152,5,673.83,3369.15
114,2263,134,4,649.97,2599.88
115,41,484,2,781.17,1562.34
116,1335,463,5,321.37,1606.85
117,2134,230,3,597.88,1793.64
118,1964,190,1,287.38,287.38
119,2433,342,1,74.41,74.41
120,19,465,2,341.28,682.56
121,1347,552,3,578.2,1734.6
122,377,79,2,677.76,1355.52
123,2238,542,5,154.29,771.45
124,790,301,5,10.14,50.7
125,1754,290,1,162.83,162.83
126,357,532,1,390.81,390.81
127,2179,101,3,692.48,2077.44
128,68,175,3,728.77,2186.31
129,86,494,2,709.65,1419.3
130,2364,91,4,667.5,2670.0
131,1693,117,5,423.8,2119.0
132,920,17,1,754.6,754.6
133,983,53,5,696.41,3482.05
134,255,84,3,369.11,1107.33
135,1122,160,2,26.4,52.8
136,2205,278,5,147.76,738.8
137,1559,583,3,778.99,2336.97
138,1331,519,2,337.8,675.6
139,1018,233,1,777.4,777.4
140,2151,588,5,475.68,2378.4
141,393,579,4,165.43,661.72
142,1102,10,3,400.1,1200.3
143,295,232,4,589.65,2358.6
144,1378,165,4,305.69,1222.76
145,667,113,5,575.23,2876.15
146,621,288,3,111.09,333.27
147,1264,41,3,93.83,281.49
148,2201,62,4,688.85,2755.4
149,1981,569,3,397.56,1192.68
150,1702,154,3,129.64,388.92
151,2049,204,3,382.59,1147.77
152,1097,151,3,621.63,1864.89
153,1602,145,1,785.46,785.46
154,40,544,2,74.7,149.4
155,1607,410,3,156.49,469.47
156,336,161,3,528.03,1584.09
157,2469,41,5,93.83,469.15
158,457,365,3,673.29,2019.87
159,1930,177,3,345.27,1035.81
160,867,465,3,341.28,1023.84
161,324,317,2,591.49,1182.98
162,2003,132,2,688.06,1376.12
163,735,417,2,646.38,1292.76
164,296,464,1,53.85,53.85
165,1710,353,3,303.02,909.06
166,528,322,4,275.84,1103.36
167,932,517,4,340.73,1362.92
168,2449,271,2,263.1,526.2
169,2024,95,1,473.85,473.85
170,2145,352,3,660.12,1980.36
171,849,591,5,667.43,3337.15
172,2186,512,5,164.24,821.2
173,1541,135,5,426.12,2130.6
174,440,473,1,710.65,710.65
175,823,348,3,410.49,1231.47
176,504,517,1,340.73,340.73
177,651,124,5,342.09,1710.45
178,2145,261,3,523.65,1570.95
179,1861,575,5,383.35,1916.75
180,879,255,3,482.26,1446.78
181,2060,95,2,473.85,947.7
182,1044,222,1,466.67,466.67
183,2236,438,3,564.43,1693.29
184,1921,332,4,206.36,825.44
185,10,206,2,562.91,1125.82
186,1655,157,2,132.67,265.34
187,762,472,1,760.01,760.01
188,1909,155,1,252.16,252.16
189,2269,553,4,648.83,2595.32
190,130,157,5,132.67,663.35
191,2221,86,5,258.03,1290.15
192,2199,15,3,323.44,970.32
193,109,367,3,176.43,529.29
194,2496,540,1,465.91,465.91
195,1555,87,2,615.72,1231.44
196,416,478,3,432.8,1298.4
197,2268,156,2,649.04,1298.08
198,1520,540,3,465.91,1397.73
199,908,58,4,641.53,2566.12
200,145,115,1,168.78,168.78
201,423,43,2,624.63,1249.26
202,113,196,3,250.84,752.52
203,485,169,4,6.24,24.96
204,759,439,4,692.76,2771.04
205,1823,389,2,678.71,1357.42
206,717,9,5,547.94,2739.7
207,1057,568,1,18.99,18.99
208,1656,372,1,230.56,230.56
209,950,39,5,651.11,3255.55
210,2412,423,1,395.54,395.54
211,67,443,2,136.8,273.6
212,953,498,4,23.53,94.12
213,729,563,3,121.45,364.35
214,1142,543,3,637.9,1913.7
215,1632,46,5,655.59,3277.95
216,150,546,1,665.99,665.99
217,2231,230,2,597.88,1195.76
218,1307,101,3,692.48,2077.44
219,24,294,4,116.36,465.44
220,656,160,3,26.4,79.2
221,269,519,5,337.8,1689.0
222,846,12,3,288.11,864.33
223,258,373,3,57.15,171.45
224,397,404,3,212.38,637.14
225,341,4,1,569.91,569.91
226,48,489,4,741.64,2966.56
227,1085,17,2,754.6,1509.2
228,259,99,4,150.17,600.68
229,2295,284,4,514.77,2059.08
230,2005,600,3,149.99,449.97
231,320,564,3,549.93,1649.79
232,1759,548,4,519.89,2079.56
233,2295,164,5,572.66,2863.3
234,138,275,3,145.85,437.55
235,407,358,4,402.51,1610.04
236,1199,217,2,352.81,705.62
237,973,327,2,116.43,232.86
238,1289,333,5,455.25,2276.25
239,2323,230,5,597.88,2989.4
240,170,457,3,709.68,2129.04
241,1655,599,1,794.13,794.13
242,993,421,3,483.87,1451.61
243,686,170,4,614.58,2458.32
244,511,595,5,394.59,1972.95
245,1900,263,5,257.11,1285.55
246,958,324,2,456.96,913.92
247,1018,527,3,413.22,1239.66
248,2258,132,4,688.06,2752.24
249,1295,218,1,768.18,768.18
250,1977,287,3,101.04,303.12
251,113,141,3,185.14,555.42
